5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
42.3995 	DATA 	Keypress: up
42.6292 	EXP 	fixation: autoDraw = False
42.6342 	EXP 	New trial (rep=18, index=0): None
42.6461 	EXP 	fixation: autoDraw = False
42.6461 	EXP 	grating: autoDraw = False
42.6461 	EXP 	grating: ori = 0.0
42.6461 	EXP 	fixation: autoDraw = True
42.6461 	EXP 	grating: autoDraw = True
42.9459 	EXP 	grating: autoDraw = False
43.1327 	DATA 	Keypress: down
43.6455 	EXP 	fixation: autoDraw = False
43.6508 	EXP 	New trial (rep=19, index=0): None
43.6622 	EXP 	fixation: autoDraw = False
43.6622 	EXP 	grating: autoDraw = False
43.6622 	EXP 	grating: ori = 0.0
43.6622 	EXP 	fixation: autoDraw = True
43.6622 	EXP 	grating: autoDraw = True
43.9623 	EXP 	grating: autoDraw = False
44.0490 	DATA 	Keypress: up
44.6620 	EXP 	fixation: autoDraw = False
44.6664 	EXP 	New trial (rep=20, index=0): None
44.6793 	EXP 	fixation: autoDraw = False
44.6793 	EXP 	grating: autoDraw = False
44.6793 	EXP 	grating: ori = 3.0
44.6793 	EXP 	fixation: autoDraw = True
44.6793 	EXP 	grating: autoDraw = True
44.9783 	EXP 	grating: autoDraw = False
45.2655 	DATA 	Keypress: up
45.6787 	EXP 	fixation: autoDraw = False
45.6842 	EXP 	New trial (rep=21, index=0): None
45.6956 	EXP 	fixation: autoDraw = False
45.6956 	EXP 	grating: autoDraw = False
45.6956 	EXP 	grating: ori = 1.0
45.6956 	EXP 	fixation: autoDraw = True
45.6956 	EXP 	grating: autoDraw = True
45.9952 	EXP 	grating: autoDraw = False
46.3325 	DATA 	Keypress: up
46.6951 	EXP 	fixation: autoDraw = False
46.7001 	EXP 	New trial (rep=22, index=0): None
46.7118 	EXP 	fixation: autoDraw = False
46.7118 	EXP 	grating: autoDraw = False
46.7118 	EXP 	grating: ori = -2.0
46.7118 	EXP 	fixation: autoDraw = True
46.7118 	EXP 	grating: autoDraw = True
47.0119 	EXP 	grating: autoDraw = False
47.4653 	DATA 	Keypress: down
47.7117 	EXP 	fixation: autoDraw = False
47.7172 	EXP 	New trial (rep=23, index=0): None
47.7285 	EXP 	fixation: autoDraw = False
47.7285 	EXP 	grating: autoDraw = False
47.7285 	EXP 	grating: ori = 3.0
47.7285 	EXP 	fixation: autoDraw = True
47.7285 	EXP 	grating: autoDraw = True
48.0283 	EXP 	grating: autoDraw = False
48.3486 	DATA 	Keypress: up
48.7283 	EXP 	fixation: autoDraw = False
48.7327 	EXP 	New trial (rep=24, index=0): None
48.7451 	EXP 	fixation: autoDraw = False
48.7451 	EXP 	grating: autoDraw = False
48.7451 	EXP 	grating: ori = 0.0
48.7451 	EXP 	fixation: autoDraw = True
48.7451 	EXP 	grating: autoDraw = True
49.0452 	EXP 	grating: autoDraw = False
49.4315 	DATA 	Keypress: down
49.7449 	EXP 	fixation: autoDraw = False
49.7497 	EXP 	New trial (rep=25, index=0): None
49.7616 	EXP 	fixation: autoDraw = False
49.7616 	EXP 	grating: autoDraw = False
49.7616 	EXP 	grating: ori = 0.0
49.7616 	EXP 	fixation: autoDraw = True
49.7616 	EXP 	grating: autoDraw = True
50.0616 	EXP 	grating: autoDraw = False
50.2479 	DATA 	Keypress: up
50.7616 	EXP 	fixation: autoDraw = False
50.7663 	EXP 	New trial (rep=26, index=0): None
50.7779 	EXP 	fixation: autoDraw = False
50.7779 	EXP 	grating: autoDraw = False
50.7779 	EXP 	grating: ori = 3.0
50.7779 	EXP 	fixation: autoDraw = True
50.7779 	EXP 	grating: autoDraw = True
51.0781 	EXP 	grating: autoDraw = False
51.1480 	DATA 	Keypress: down
51.7781 	EXP 	fixation: autoDraw = False
51.7835 	EXP 	New trial (rep=27, index=0): None
51.7945 	EXP 	fixation: autoDraw = False
51.7945 	EXP 	grating: autoDraw = False
51.7945 	EXP 	grating: ori = 4.0
51.7945 	EXP 	fixation: autoDraw = True
51.7945 	EXP 	grating: autoDraw = True
52.0948 	EXP 	grating: autoDraw = False
52.2816 	DATA 	Keypress: up
52.7946 	EXP 	fixation: autoDraw = False
52.7994 	EXP 	New trial (rep=28, index=0): None
52.8110 	EXP 	fixation: autoDraw = False
52.8110 	EXP 	grating: autoDraw = False
52.8110 	EXP 	grating: ori = 0.0
52.8110 	EXP 	fixation: autoDraw = True
52.8110 	EXP 	grating: autoDraw = True
53.1114 	EXP 	grating: autoDraw = False
53.1484 	DATA 	Keypress: up
53.8113 	EXP 	fixation: autoDraw = False
53.8162 	EXP 	New trial (rep=29, index=0): None
53.8278 	EXP 	fixation: autoDraw = False
53.8278 	EXP 	grating: autoDraw = False
53.8278 	EXP 	grating: ori = 0.0
53.8278 	EXP 	fixation: autoDraw = True
53.8278 	EXP 	grating: autoDraw = True
54.1280 	EXP 	grating: autoDraw = False
54.4640 	DATA 	Keypress: down
54.8278 	EXP 	fixation: autoDraw = False
54.8333 	EXP 	New trial (rep=30, index=0): None
54.8445 	EXP 	fixation: autoDraw = False
54.8445 	EXP 	grating: autoDraw = False
54.8445 	EXP 	grating: ori = 0.0
54.8445 	EXP 	fixation: autoDraw = True
54.8445 	EXP 	grating: autoDraw = True
55.1446 	EXP 	grating: autoDraw = False
55.5808 	DATA 	Keypress: up
55.8446 	EXP 	fixation: autoDraw = False
55.8490 	EXP 	New trial (rep=31, index=0): None
55.8610 	EXP 	fixation: autoDraw = False
55.8610 	EXP 	grating: autoDraw = False
55.8610 	EXP 	grating: ori = 0.0
55.8610 	EXP 	fixation: autoDraw = True
55.8610 	EXP 	grating: autoDraw = True
56.1606 	EXP 	grating: autoDraw = False
56.4308 	DATA 	Keypress: up
56.8607 	EXP 	fixation: autoDraw = False
56.8650 	EXP 	New trial (rep=32, index=0): None
56.8775 	EXP 	fixation: autoDraw = False
56.8775 	EXP 	grating: autoDraw = False
56.8775 	EXP 	grating: ori = 0.0
56.8775 	EXP 	fixation: autoDraw = True
56.8775 	EXP 	grating: autoDraw = True
57.1772 	EXP 	grating: autoDraw = False
57.1806 	DATA 	Keypress: up
57.8772 	EXP 	fixation: autoDraw = False
57.8817 	EXP 	New trial (rep=33, index=0): None
57.8938 	EXP 	fixation: autoDraw = False
57.8938 	EXP 	grating: autoDraw = False
57.8938 	EXP 	grating: ori = 0.0
57.8938 	EXP 	fixation: autoDraw = True
57.8938 	EXP 	grating: autoDraw = True
58.0476 	DATA 	Keypress: up
58.1942 	EXP 	grating: autoDraw = False
58.8942 	EXP 	fixation: autoDraw = False
58.8995 	EXP 	New trial (rep=34, index=0): None
58.9103 	EXP 	fixation: autoDraw = False
58.9103 	EXP 	grating: autoDraw = False
58.9103 	EXP 	grating: ori = 0.0
58.9103 	EXP 	fixation: autoDraw = True
58.9103 	EXP 	grating: autoDraw = True
59.2105 	EXP 	grating: autoDraw = False
59.2812 	DATA 	Keypress: down
